Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total system.l2.overall_miss_rate::total
run1	1.178110	0.000367	0.000056	0.200911
run2	1.210302	0.004346	0.000401	0.054981
run3	1.194226	0.002259	0.000420	0.102704
run4	1.186298	0.001133	0.000334	0.056418
run5	1.185588	0.001133	0.000057	0.061388
run6	1.185588	0.001133	0.000056	0.061400
run7	1.178295	0.000387	0.000056	0.187128
run8	1.182888	0.000662	0.000078	0.208062
run9	1.182888	0.000662	0.000078	0.208062
run10	1.178110	0.000367	0.000056	0.200911
